number,value,datetime_start,datetime_complete,duration,params_D2_nm,params_D3_nm,params_D4_nm,params_metal,state
3294,0.0,2026-03-20 00:25:39.895965,2026-03-20 00:25:40.504909,0 days 00:00:00.608944,25.808207746002775,19.0151994608596,0.42452569083982306,Cu,COMPLETE
3295,-11.904761904760488,2026-03-20 00:25:39.932367,2026-03-20 00:25:40.648167,0 days 00:00:00.715800,25.573340083205192,18.870130951907072,0.4190090725845862,Cu,COMPLETE
3296,-12.573964497039935,2026-03-20 00:25:39.992444,2026-03-20 00:25:40.649164,0 days 00:00:00.656720,25.225815870941716,18.88310112309515,0.4225265290699564,Cu,COMPLETE
3297,-11.904761904760488,2026-03-20 00:25:39.963048,2026-03-20 00:25:40.754103,0 days 00:00:00.791055,25.519984234800603,18.86554142648515,0.43434370801067085,Cu,COMPLETE
3298,0.0,2026-03-20 00:25:40.021164,2026-03-20 00:25:40.679721,0 days 00:00:00.658557,25.344980447484783,18.941135824428187,0.5591042135555007,Cu,COMPLETE
3299,0.0,2026-03-20 00:25:40.065454,2026-03-20 00:25:40.770413,0 days 00:00:00.704959,25.622394501015368,18.877429721173158,0.5720889449992749,Cu,COMPLETE
3300,-11.408730158728766,2026-03-20 00:25:40.190834,2026-03-20 00:25:40.804068,0 days 00:00:00.613234,25.67813718236498,18.89866707614048,0.41974279034224216,Cu,COMPLETE
3301,-209.62033462031863,2026-03-20 00:25:40.620168,2026-03-20 00:25:41.346517,0 days 00:00:00.726349,21.397520697204744,19.657564869652838,0.32758526605159904,Cu,COMPLETE
3302,-306.33147113590604,2026-03-20 00:25:40.677717,2026-03-20 00:25:41.391604,0 days 00:00:00.713887,21.605154291545247,19.991649496093455,0.3285872720411691,Cu,COMPLETE
3303,-302.7163904235394,2026-03-20 00:25:40.801641,2026-03-20 00:25:41.408211,0 days 00:00:00.606570,22.025330460507735,19.654467038292854,0.33780225601101904,Cu,COMPLETE
3304,-211.5758754863649,2026-03-20 00:25:40.868840,2026-03-20 00:25:41.441337,0 days 00:00:00.572497,21.560751418501816,19.644625224720503,0.3245043054642657,Cu,COMPLETE
3305,-310.96986817322295,2026-03-20 00:25:40.878485,2026-03-20 00:25:41.532560,0 days 00:00:00.654075,21.851257044048413,19.99750670290819,0.33093981330476685,Cu,COMPLETE
3306,-302.48618784527054,2026-03-20 00:25:40.907733,2026-03-20 00:25:41.548535,0 days 00:00:00.640802,21.5454073049431,19.954484512523216,0.31098880648096366,Cu,COMPLETE
3307,-208.6538461538301,2026-03-20 00:25:40.924872,2026-03-20 00:25:41.437435,0 days 00:00:00.512563,21.427794060406022,19.632885432791777,0.3122748323967508,Cu,COMPLETE
3308,-304.1666666666333,2026-03-20 00:25:40.940194,2026-03-20 00:25:41.438998,0 days 00:00:00.498804,21.48605469533008,19.993680585371457,0.32794203621273693,Cu,COMPLETE
3309,0.0,2026-03-20 00:25:41.505468,2026-03-20 00:25:42.159638,0 days 00:00:00.654170,28.02396586405884,19.978762538856326,0.29799336925486075,Cu,COMPLETE
3310,0.0,2026-03-20 00:25:41.566755,2026-03-20 00:25:42.158054,0 days 00:00:00.591299,20.008063743222586,19.954042275113945,0.3025891448865158,Cu,COMPLETE
